Water Name,County,Species,Quantity,Ave Length,Date
BOULGER POND,SANPETE,RAINBOW,499,10.57,08/12/2008 12:00:00 AM
BOULGER POND,SANPETE,RAINBOW,337,10.73,08/26/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,2002,7.99,03/13/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1101,8.32,03/21/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW ALBINO,1900,9.279999999999999,03/27/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1500,8.779999999999999,04/17/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,997,8.66,04/25/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,335,17.07,05/06/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW ALBINO,2006,8.77,05/14/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,335,17.07,05/20/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,670,17.07,06/05/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,335,17.07,06/24/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,670,17.07,07/01/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,1005,17.07,07/11/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,1005,17.07,07/23/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,670,17.07,07/31/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,BULLHEAD CHANNEL CAT,670,17.07,08/28/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,519,11.39,09/22/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1239,10.19,10/06/2008 12:00:00 AM
BOUNTIFUL POND,DAVIS,RAINBOW,1256,10.52,10/28/2008 12:00:00 AM
BOURBON L BR-1,SUMMIT,BROOK TROUT,200,2.92,07/08/2008 12:00:00 AM
"BOWNS RES, LOWER",GARFIELD,RAINBOW,7030,4.01,06/04/2008 12:00:00 AM
"BOWNS RES, LOWER",GARFIELD,RAINBOW,7030,4.01,06/04/2008 12:00:00 AM
"BOX CR RES, LOWER",PIUTE,RAINBOW,1001,9.9,05/16/2008 12:00:00 AM
"BOX CR RES, LOWER",PIUTE,RAINBOW,1005,9.92,06/04/2008 12:00:00 AM
"BOX CR RES, LOWER",PIUTE,BROOK TROUT,1615,3.2,07/07/2008 12:00:00 AM
"BOX CR RES, LOWER",PIUTE,RAINBOW,594,10.43,07/09/2008 12:00:00 AM
"BOX CR RES, UPPER",PIUTE,RAINBOW,1001,9.9,05/16/2008 12:00:00 AM
"BOX CR RES, UPPER",PIUTE,RAINBOW,1005,9.92,06/04/2008 12:00:00 AM
"BOX CR RES, UPPER",PIUTE,BROOK TROUT,1615,3.2,07/07/2008 12:00:00 AM
"BOX CR RES, UPPER",PIUTE,RAINBOW,594,10.43,07/09/2008 12:00:00 AM
BOX RES,UTAH,RAINBOW,1002,9.36,06/09/2008 12:00:00 AM
BOX RES,UTAH,RAINBOW,598,9.81,06/16/2008 12:00:00 AM
BOX RES,UTAH,RAINBOW,600,9.24,07/01/2008 12:00:00 AM
BOX RES,UTAH,RAINBOW,400,9.5,07/14/2008 12:00:00 AM
BOX RES,UTAH,RAINBOW,400,9.75,07/28/2008 12:00:00 AM
BRAD'S SECRET,SANPETE,BROOK TROUT,112,3.74,08/06/2008 12:00:00 AM
BRIDGER L G-20,SUMMIT,RAINBOW,2573,8.869999999999999,06/02/2008 12:00:00 AM
BRIDGER L G-20,SUMMIT,RAINBOW,2000,9.92,06/24/2008 12:00:00 AM
BRIDGER L G-20,SUMMIT,BROOK TROUT,2156,3.25,07/08/2008 12:00:00 AM
BRIDGER L G-20,SUMMIT,RAINBOW,2000,9.92,07/16/2008 12:00:00 AM
BRIDGER L G-20,SUMMIT,RAINBOW,1426,10.199999999999999,08/11/2008 12:00:00 AM
BROKEN ARROW CR (FARM CR,DUCHESNE,CUTTHROAT,500,5.32,06/27/2008 12:00:00 AM
BROOK L A-20,SUMMIT,BROOK TROUT,100,2.92,07/08/2008 12:00:00 AM
BROOK L U-54,DUCHESNE,BROOK TROUT,1000,2.92,07/10/2008 12:00:00 AM
BROUGH RES,UINTAH,RAINBOW,647,7.99,04/23/2008 12:00:00 AM
BROUGH RES,UINTAH,RAINBOW,2499,3.26,05/20/2008 12:00:00 AM
